Mobile,Route,Community,Stop,Address,Date,Day,Frequency,Start,End,Timetable
South,Friday Week 2,Collingbourne Ducis,West Farm,"West Farm, Collingbourne Ducis",2020-11-20,Friday,4,11:05,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Friday Week 2,Collingbourne Kingston,Aughton,"Aughton, Collingbourne Kingston",2020-11-20,Friday,4,11:40,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
North,Monday Week 3,Compton Bassett,Briar Leaze,"Briar Leaze, Compton Bassett",2020-11-23,Monday,4,11:00,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
Residential homes,Tuesday Week 3,Corsham,Claremont and Warrington Lodge,"Claremont and Warrington Lodge, Corsham",2020-11-24,Tuesday,4,10:40,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/103
Residential homes,Tuesday Week 3,Corsham,Holton House,"Holton House, Corsham",2020-11-24,Tuesday,4,09:45,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/103
Residential homes,Tuesday Week 3,Corsham,Jargeau Court,"Jargeau Court, Corsham",2020-11-24,Tuesday,4,10:05,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/103
Residential homes,Tuesday Week 1,Cricklade,Heberden House,"Heberden House, Cricklade",2020-12-08,Tuesday,4,11:30,11:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/89
North,Friday Week 1,Crudwell,The Dawneys,"The Dawneys, Crudwell",2020-12-11,Friday,4,11:10,11:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
North,Friday Week 3,Dauntsey,School,"School, Dauntsey",2020-11-27,Friday,4,10:00,10:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
Residential homes,Monday Week 3,Derry Hill,Kingston House,"Kingston House, Derry Hill",2020-11-23,Monday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/102
North,Tuesday Week 2,Derry Hill,Lansdowne Hall,"Lansdowne Hall, Derry Hill",2020-11-17,Tuesday,4,14:20,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
